date,streetwear
2015-12-27,69
2016-01-03,63
2016-01-10,0
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,100
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,56
2016-04-24,0
2016-05-01,56
2016-05-08,0
2016-05-15,0
2016-05-22,67
2016-05-29,50
2016-06-05,52
2016-06-12,57
2016-06-19,0
2016-06-26,0
2016-07-03,0
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,52
2016-10-02,57
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,57
2016-11-06,91
2016-11-13,48
2016-11-20,62
2016-11-27,0
2016-12-04,54
2016-12-11,0
2016-12-18,63
2016-12-25,0
