date,ropa vintage
2019-12-29,66
2020-01-05,61
2020-01-12,65
2020-01-19,70
2020-01-26,72
2020-02-02,74
2020-02-09,53
2020-02-16,50
2020-02-23,56
2020-03-01,74
2020-03-08,49
2020-03-15,41
2020-03-22,41
2020-03-29,45
2020-04-05,60
2020-04-12,69
2020-04-19,64
2020-04-26,69
2020-05-03,65
2020-05-10,72
2020-05-17,68
2020-05-24,62
2020-05-31,66
2020-06-07,77
2020-06-14,57
2020-06-21,64
2020-06-28,62
2020-07-05,55
2020-07-12,65
2020-07-19,58
2020-07-26,58
2020-08-02,70
2020-08-09,90
2020-08-16,84
2020-08-23,77
2020-08-30,85
2020-09-06,90
2020-09-13,87
2020-09-20,100
2020-09-27,100
2020-10-04,77
2020-10-11,96
2020-10-18,90
2020-10-25,75
2020-11-01,66
2020-11-08,75
2020-11-15,62
2020-11-22,83
2020-11-29,83
2020-12-06,71
2020-12-13,76
2020-12-20,68
2020-12-27,62
