date,zara
2019-12-29,64
2020-01-05,100
2020-01-12,69
2020-01-19,54
2020-01-26,55
2020-02-02,50
2020-02-09,45
2020-02-16,45
2020-02-23,45
2020-03-01,46
2020-03-08,35
2020-03-15,19
2020-03-22,21
2020-03-29,24
2020-04-05,31
2020-04-12,35
2020-04-19,37
2020-04-26,44
2020-05-03,54
2020-05-10,49
2020-05-17,63
2020-05-24,59
2020-05-31,56
2020-06-07,51
2020-06-14,51
2020-06-21,71
2020-06-28,61
2020-07-05,55
2020-07-12,48
2020-07-19,46
2020-07-26,45
2020-08-02,43
2020-08-09,42
2020-08-16,42
2020-08-23,43
2020-08-30,46
2020-09-06,45
2020-09-13,46
2020-09-20,49
2020-09-27,51
2020-10-04,53
2020-10-11,53
2020-10-18,49
2020-10-25,47
2020-11-01,51
2020-11-08,50
2020-11-15,51
2020-11-22,91
2020-11-29,59
2020-12-06,60
2020-12-13,53
2020-12-20,54
2020-12-27,60
